Year,Well Planned Day Online,Scholaric,Lessontrek,Homeschool Tracker,Homeschool Skedtrack,Homeschool Planet,Homeschool Minder,Homeschool Helper,Google Classroom,Charlotte Mason Organizer
2008,0,0,0,4,0,0,0,1,0,0
2009,0,0,0,5,2,0,0,1,0,3
2010,2,0,0,3,0,0,0,0,0,1
2011,0,1,0,2,1,0,0,0,0,0
2012,2,6,0,4,4,0,0,3,0,0
2013,1,3,0,1,1,1,1,1,0,0
2014,0,1,0,0,1,1,0,0,0,1
2015,0,1,0,1,1,5,0,0,0,0
2016,1,3,1,0,1,1,0,1,1,0
2017,0,1,0,2,1,1,0,0,1,0
2018,0,1,0,0,0,3,0,1,0,0
2019,0,0,1,1,0,2,1,0,0,0
2020,0,0,0,0,0,1,0,0,3,0
Grand Total,6,17,2,23,12,15,2,8,5,5
